id,enlem,boylam,ad
165,-17.34868,58.97293,PLK
166,21.55656,-103.99579,SMY
167,46.84168,136.38065,XAH
168,41.6576,-173.7925,XYC
169,19.66801,88.35577,SMZ
170,1.38836,64.87309,AKN
171,52.89408,160.23199,YBJ
172,-43.72816,160.72368,DYE
173,63.77565,-92.09615,ZIK
174,-21.61437,75.14227,JGF
175,-81.91721,-179.70033,WBV
176,-87.47246,-85.81341,HMR
177,-18.33234,-5.50707,UCG
178,8.9808,100.96308,XJP
179,17.11749,78.51079,UAQ
180,23.74763,164.59221,XDA
181,-23.91694,123.63839,GYZ
182,84.23915,-92.67433,MIO
183,-4.73451,-169.2831,ZUW
184,33.53012,39.56055,AXD
185,58.00446,-18.77057,ZCS
186,-80.11621,-18.7922,IRR
187,-66.06386,-36.81562,HOW
188,-89.92628,5.54296,IDL
189,86.13526,-169.56281,PLS
190,7.00025,67.91503,WJR
191,14.9648,71.33464,VQV
192,-31.53952,-115.74244,YQJ
193,41.45858,48.38241,KMF
194,80.82396,141.67323,LJH
195,-61.15351,86.89439,GIY
196,-28.85891,-98.48257,BFV
197,-76.4782,-90.11704,EXB
198,-26.02712,-3.31086,RIA
199,-65.0476,-122.08049,GRR
200,77.27239,6.99478,LYW
201,51.88212,-10.17649,WJG
202,55.26676,-133.88562,WPD
203,79.87368,147.58226,XGM
204,-4.02013,7.75067,KNK
205,-22.44372,-62.7435,SPT
206,35.5765,152.51767,JET
207,-65.7423,125.66946,GGD
208,-65.84403,66.59124,KMG
209,-50.61343,-134.72401,FSO
210,27.08729,-55.11214,YSZ
211,-60.98152,-16.78784,SOM
212,-62.65972,-71.96664,QHK
213,10.15108,-133.76534,HVI
214,-87.74121,-138.5677,BGP
215,50.50207,89.74263,CQI
216,31.14029,-167.93193,XKO
217,31.23944,24.692,KHC
218,21.25711,33.86308,VTT
219,-88.13614,-0.49546,ZAB
220,-57.50187,-25.98588,YKX
221,-28.79541,-136.15447,XGT
222,19.28886,126.14321,XNS
223,7.96648,74.70228,FTX
224,-24.46339,-149.90851,ITC
225,-62.18917,-22.39445,CLY
226,-86.95361,-42.64212,OVM
227,20.50038,172.07292,HYS
228,10.22236,134.31748,YOY
229,-58.67102,-27.56208,CEY
230,44.69511,-112.98747,ABO
231,44.03551,-152.17397,WEK
232,25.74849,-14.17043,PZZ
233,17.68197,-50.64792,WCJ
234,79.13315,-12.71026,EZH
235,6.86448,-6.48145,MMX
236,-5.35858,-43.59295,DFR
237,1.9738,-127.82417,WAA
238,67.68124,-39.69543,LCK
239,18.40414,-101.94953,ZNH
240,-33.47284,-156.84287,UWY
241,-47.43896,114.8428,HEL
242,7.43252,1.14989,NCI
243,52.03084,133.2719,WNE
244,-29.07053,14.69854,YDO
245,-72.82437,-25.41872,PWE
246,4.97635,168.0772,CVX
247,-18.10787,-51.36797,GJE
248,34.21876,106.6377,GTP
249,-89.48389,-46.17615,OHZ
250,28.55019,-162.23727,YDJ
251,74.11965,-69.63313,AWV
252,-6.70836,-116.89946,LII
253,59.60238,-47.94369,MPT
254,56.25256,19.03321,UYL
255,84.94076,126.16012,KAK
256,-33.16005,3.91545,UFA
257,-77.45304,-157.75803,GMH
258,-34.61731,-141.87847,URC
259,45.03671,-38.79726,BEI
260,-18.58948,-21.81929,YHX
261,-79.4037,94.91023,LQA
262,-53.77597,-59.23578,CFJ
263,-13.26154,-41.32108,WTD
264,49.40016,68.71772,XKE
265,-18.48397,119.93734,CXQ
266,-51.93778,155.81481,COJ
267,-12.7795,71.58776,VSU
268,-27.34028,168.71034,ZPC
269,-56.93468,53.03904,EDH
270,-76.43616,131.58822,IFX
271,-77.71672,142.24968,VWS
272,-89.99086,112.97236,RPN
273,-7.98817,70.56697,SUJ
274,34.40495,104.14092,JGQ
275,-46.07062,137.26413,ZDK
276,-15.4756,23.66515,EDB
277,7.16757,-78.81004,PCA
278,17.23002,-35.34163,TNG
279,-76.02189,148.21634,QSJ
280,73.85462,-121.38449,OGB
281,15.38597,-125.59218,MRX
282,-77.02667,47.53117,VZX
283,-32.49294,-19.7621,STB
284,-21.31781,170.36913,IFR
285,-7.36865,-53.96307,APA
286,89.88427,145.24535,BWY
287,-59.27542,120.33883,HJY
288,-6.80772,149.40696,JRR
289,-76.63845,-20.66174,NCJ
290,-19.54716,-148.53547,SQW
291,3.41232,142.44553,TPB
292,33.35079,107.8346,DYB
293,87.63672,26.82344,OUQ
294,-67.06851,-11.13583,WDI
295,-11.41599,59.19026,AOW
296,-82.96952,-81.89597,YDI
297,-80.34429,130.58774,PHV
298,-21.07103,65.21378,QBK
299,30.10124,-82.54612,FDN
300,64.72163,-177.52304,FHA
301,14.36639,-171.22756,VIE
302,-73.02363,-168.03526,DPB
303,-32.99166,-112.35179,YWG
304,28.62854,141.01349,QXQ
305,47.47878,-130.18006,VJO
306,88.46797,-4.17281,PVO
307,18.04201,151.50191,RNF
308,10.44336,8.2898,GNK
309,46.46195,151.26705,RCS
310,2.36361,15.71268,EDY
311,-11.33274,155.21899,OAQ
312,8.54961,165.84704,EZV
313,81.00703,171.96037,QCI
314,49.71045,172.71247,RAB
315,-26.89033,11.76253,KKD
316,-67.58094,-94.45683,ACU
317,-37.64435,26.7295,BWF
318,-68.90803,89.39816,IIG
319,17.93991,-54.76162,UQI
320,51.21149,-149.73799,BZR
321,-77.42946,32.53773,CIW
322,40.98939,130.5446,TXK
323,56.68823,153.71862,GSP
324,76.82692,13.40353,IVD
325,-64.01877,-98.90357,NEF
326,51.47404,-160.77463,TPQ
327,4.79035,2.8089,TNB
328,30.91508,-34.35619,CYW
329,34.93483,95.05709,LMQ
330,-63.60498,87.4032,XYY
331,85.24468,-58.78536,FSW
332,-24.3915,-98.05915,TSA
333,-84.87889,13.53781,WXG
334,81.63154,152.68024,UXE
335,-48.82906,116.14357,DLA
336,71.00735,-10.41335,RXQ
337,-80.40817,72.02537,DUR
338,61.99868,-108.02233,NAQ
339,-35.12379,-80.30784,GBQ
340,-41.80886,19.54828,NMQ
341,85.28884,125.40403,ZUW
342,-79.64035,-118.44428,GSX
343,33.48778,102.89483,FGG
344,14.72663,19.97025,QMT
345,-76.88063,-52.7857,GLI
346,-82.98903,-13.14969,VHE
347,-79.56124,127.53665,SBX
348,-8.04455,107.20868,IJQ
349,-29.75974,-46.06805,EXK
350,-36.47338,160.91036,SKX
351,72.71558,-9.52659,BYE
352,-11.49,-105.38389,CYO
353,66.22275,71.20604,AAV
354,64.39286,-158.12247,LMY
355,-81.49732,35.47111,EPH
356,-45.96142,-155.72934,LMJ
357,-78.04617,153.20392,NID
358,83.81632,139.64742,WPB
359,-21.0328,-145.36503,WND
360,-7.25094,95.66925,UEU
361,84.70665,154.90685,VAE
362,86.78883,-165.8497,GYR
363,61.2904,-166.05119,SEQ
364,-83.15115,166.34234,HQD
365,29.06599,168.87929,ALO
366,81.46505,-153.12363,FJR
367,-83.1642,-137.01489,BEF
368,-77.29584,154.17357,OYP
369,53.25084,167.90403,IRG
370,-44.26887,-97.79774,FTX
371,37.57284,-50.84603,KMQ
372,36.31186,-31.68908,NGJ
373,81.89014,-10.72821,YST
374,20.51441,79.1105,YOY
375,87.60472,-25.97756,NIG
376,82.89162,48.5728,QSN
377,-51.54399,162.09678,SVO
378,-51.54779,-55.46072,TYW
379,48.14826,51.29685,GEP
380,41.91727,175.16499,PKI
381,-26.43041,62.91764,JHC
382,-8.21018,-50.86693,MNU
383,-3.07167,-138.05512,LWY
384,37.52602,89.28527,EYP
385,-72.20033,-46.60616,GWI
386,64.56873,-22.17038,OLX
387,-59.0965,-175.99966,HHH
388,-45.44928,48.01343,TDU
389,37.02741,-16.36198,OFH
390,72.68031,-164.6364,UPF
391,83.60805,-45.05129,LVE
392,71.21301,111.26247,NDL
393,-1.52578,-105.00238,GMQ
394,-56.32999,99.00817,OFG
395,1.62525,122.8053,TTH
396,18.92721,-82.43799,KDY
397,61.68235,-149.37079,PHJ
398,30.77508,80.96197,QIR
399,27.54531,-67.7115,CPN
400,-35.98763,95.22236,XJA
401,70.60123,-35.9792,MWH
402,-22.53259,15.65176,HPN
403,44.70641,157.54638,KBX
404,-3.95784,-14.87391,CTY
405,75.46651,65.69019,SPF
406,31.41163,-19.75478,EFI
407,-54.90539,-7.34353,NTE
408,-0.14532,-86.12902,YBQ
409,-70.51845,111.4457,GUM
410,88.46126,172.15665,XVF
411,44.77275,22.67104,WUY
412,-40.08102,-88.0877,LLA
413,-16.9204,-50.59014,KHF
414,7.8695,29.17278,NMN
415,-27.45813,-30.78141,BSS
416,84.41293,-104.29529,HFW
417,70.84183,-129.74448,RUE
418,56.56787,-116.63208,NWT
419,75.1227,-67.32765,RFO
420,-22.74329,48.94171,UXU
421,-46.60895,144.94321,ZWM
422,-83.71938,-74.81072,LMY
423,-27.08675,-88.59264,ORE
424,20.81282,27.33242,OQL
425,-85.26914,123.83191,RXM
426,-89.32757,34.00759,YMQ
427,-48.44236,-91.64892,AMB
428,-10.16019,-91.8368,IXB
429,-18.1096,-93.6925,BSG
430,-9.78722,22.09782,KYV
431,37.54805,46.85907,LXE
432,-17.41729,76.32658,BWE
433,-11.3907,130.14419,VQT
434,74.3268,-63.09092,WPG
435,37.65378,-170.9712,OZI
436,-78.47151,122.14162,OIK
437,-69.234,149.91344,ZKT
438,-43.73293,80.10125,GFG
439,59.84361,-107.76754,QGV
440,-24.23498,-57.8268,ISN
441,15.40141,158.89609,VAK
442,50.37054,-121.77464,YDZ
443,2.39709,-91.84119,TRG
444,7.45611,-13.10383,RBQ
445,-41.2083,165.06091,RPM
446,-11.7436,51.31879,DRM
447,0.93614,-122.9624,RQU
448,-73.77639,135.9138,QTL
449,-60.01975,-108.94868,QDF
450,-54.21555,-101.0367,WFN
451,9.66079,-134.7782,QUG
452,-73.57747,97.77529,CIO
453,46.36405,-34.76431,MXH
454,34.92572,-81.58634,AHQ
455,-15.21977,150.68863,IBK
456,9.48606,172.19586,LUB
457,30.3763,-11.96321,BEK
458,-2.20809,-39.65319,GWA
459,0.04265,158.66885,UCA
460,16.70732,150.99764,COW
461,-15.34537,3.52897,IWZ
462,-89.17388,-160.45617,YRS
463,-37.68026,10.90714,RKF
464,-49.93828,59.83859,PJL
465,-31.43259,-35.7616,GPT
466,56.3852,-95.99946,QDP
467,8.17154,-94.19979,TWA
468,-11.56368,42.27337,QBU
469,87.28018,-85.94978,CIW
470,-9.54831,-55.93172,NVH
471,-73.82276,117.17714,GLX
472,-50.0239,-141.50647,AWI
473,-46.36696,-131.19099,MQR
474,3.68627,-170.9256,QEW
475,-69.22689,158.8265,MLB
476,-50.45844,88.93864,MYL
477,-60.49131,29.42686,OBS
478,38.1132,67.70353,AZL
479,-67.23653,-19.1836,DEP
480,-53.77,-83.8394,DWG
481,-48.94222,106.28155,XPZ
482,-82.17696,-28.27249,NZM
483,-48.56462,8.03812,XOR
484,-77.62872,-56.78636,MWQ
485,-77.39504,152.51472,LYZ
486,68.27367,-177.1987,IWL
487,-41.04555,-86.19268,YDL
488,67.96625,131.77495,RQT
489,-77.25603,110.00034,KQY
490,-0.76958,-110.00408,UCU
491,20.72572,-163.63325,IRB
492,73.40445,147.16845,GFZ
493,76.12935,59.06824,WHS
494,-77.10286,162.5482,GUB
495,39.04195,177.79307,LWI
496,79.60932,-142.29324,TKB
497,15.10852,-5.16873,MVT
498,-6.43525,152.53531,YQY
499,46.90211,-68.16942,UMM
500,-44.85923,-42.42063,OMY
501,-21.08984,114.41604,JBS
502,-70.58414,-123.95485,XBU
503,-28.1275,156.83572,PFM
504,15.72458,140.12018,OTF
505,-43.10228,-141.29362,VIV
506,64.37641,-127.87221,XQO
507,60.7319,-26.32105,CSA
508,67.23229,-152.46449,CLZ
509,73.51133,63.43499,FPA
510,18.18625,-109.2439,ZSZ
511,38.70426,54.83005,WMG
512,59.74724,48.67127,BNR
513,-29.18598,-88.15393,BPQ
514,30.21535,58.24629,MRD
515,44.01139,-61.45247,CPM
516,-70.76,42.78389,WRZ
517,-73.24418,-172.90258,ZJX
518,78.3943,-38.04941,WBH
519,62.4257,138.16888,CAJ
520,28.44102,93.26533,SPF
521,-13.13377,-114.04003,WAL
522,2.07046,-145.10667,WVQ
523,-85.09034,-172.64105,UMA
524,-15.1596,-151.22132,ELV
525,28.87505,-34.83651,LPE
526,11.48984,24.4909,CBB
527,69.88973,7.39799,BJB
528,-74.73217,-1.75088,BBC
529,-10.45406,-31.47339,GJX
530,-10.47697,113.7648,GHN
531,-82.02565,53.21437,CPJ
532,78.64042,68.02399,QLF
533,-33.95733,179.48628,QKH
534,36.94196,-22.76405,DFO
535,-49.45995,-27.27575,YUQ
536,50.62714,-158.2776,DFF
537,78.10483,10.01699,IZK
538,-50.28531,44.46012,BLS
539,-74.93263,-87.2148,TAR
540,-60.67316,-177.62301,ZOM
541,65.56893,-162.07379,KXE
542,-8.22133,-168.86076,ZGV
543,14.69491,-131.71822,WLS
544,65.58164,79.79414,JJM
545,61.54555,-8.73195,VPB
546,45.54103,129.04635,GKC
547,-24.73333,178.59908,RXN
548,-53.10998,105.98753,HUJ
549,-22.37382,-142.17209,XFX
550,47.48899,174.22478,ZPW
551,-81.61124,-152.3778,GKG
552,-46.34266,-131.75813,DNU
553,-44.26516,-39.63038,VTH
554,83.80017,31.88163,HUY
555,62.17201,-171.47542,PZW
556,-24.24646,43.04957,NKZ
557,51.41472,-167.67639,DNZ
558,62.27299,-178.93738,FSW
559,0.77324,-32.0377,ALA
560,7.65255,71.55601,IGP
561,-5.78583,-114.77798,OYJ
562,-74.33519,-154.55683,XTH
563,-66.55255,-118.95046,CWD
564,-61.61445,37.80586,GAZ
565,35.05494,58.2722,FNM
566,0.08531,70.28185,SKP
567,28.24116,-37.50692,ARJ
568,35.51258,-143.55408,OPH
569,14.9147,-34.53055,HIW
570,2.55248,30.39137,YUF
571,-23.38647,114.92222,QPS
572,0.4259,17.58547,NDC
573,-60.89058,110.12519,SMC
574,82.92481,121.04804,PZN
575,-14.94,150.51975,TDY
576,-37.19531,-76.44397,AAO
577,-21.57066,-31.61513,CTS
578,-37.03082,139.07978,KPT
579,-14.55582,53.43745,NNK
580,-26.66183,178.60311,SSY
581,60.73126,77.9279,LTY
582,-68.91705,-165.68308,AZH
583,-14.88223,61.80402,SLM
584,65.49064,-113.94915,XZY
585,-27.75602,-114.49792,XOP
586,-63.60616,-31.5292,CSA
587,67.9991,43.25701,HSN
588,-18.6693,-16.71902,QLN
589,-42.89789,-135.13201,QAY
590,59.07696,-36.52778,HUM
591,59.95592,23.77143,SLS
592,44.86774,-170.39073,LAW
593,16.41544,-113.76085,BWO
594,-9.37269,-70.45304,PAK
595,87.92441,63.82128,BOG
596,-70.53118,-150.62778,ADI
597,-30.35061,-75.47794,PZL
598,4.66956,115.20955,NCC
599,-69.81952,-23.49745,PXM
600,2.017,26.15851,FJU
601,39.70129,-29.02452,KRR
602,70.97384,117.18252,ZOI
603,8.60276,-144.33033,NSJ
604,-69.8987,21.87704,TNJ
605,-37.27434,23.27915,THM
606,-72.60455,-115.41263,SVI
607,-55.35155,-54.23129,LOC
608,28.94538,166.81799,IJB
609,0.89101,20.67883,VTN
610,67.40419,147.06481,UHQ
611,-4.51247,-98.87324,XUG
612,-5.41776,-133.09095,EVU
613,-30.23586,-168.21124,PXR
614,57.24917,-28.9014,WKZ
615,80.80988,-72.52891,VRR
616,-54.04015,-53.16319,IEP
617,75.69612,-63.49051,ZRL
618,3.14271,77.30722,FMH
619,-73.96932,115.93081,DUQ
620,10.40786,140.51132,OMV
621,5.71422,-63.03507,WDD
622,-63.93287,-42.73824,WWU
623,84.87602,166.26665,VEH
624,-56.19654,-15.85109,ETW
625,8.41694,-52.30555,KSR
626,33.99761,-128.35063,IRD
627,51.68553,-73.8295,ITH
628,-15.55786,10.06395,LCA
629,-7.85159,12.3,CYW
630,-71.36441,-6.9788,EQE
631,80.56526,-105.13994,MNR
632,44.52457,-125.8528,IMC
633,83.92311,42.05951,LAG
634,56.81563,136.25054,WZW
635,-54.26118,-15.58933,YLY
636,56.88049,-112.45985,YEM
637,74.08219,21.59194,YPH
638,42.04172,56.21499,IZP
639,57.53915,-122.21854,JYY
640,47.27002,128.47315,ZJV
641,-17.34963,65.57487,KVX
642,54.31013,82.45144,HCQ
643,27.82165,90.48229,CRY
644,-49.07168,-140.30248,NTX
645,4.30983,126.80972,DLU
646,-3.66555,-116.0671,IPV
647,-5.85242,-14.47952,ZLS
648,-22.36493,100.50991,ZVO
649,-26.86703,-129.43068,GVZ
650,-32.20431,-98.39835,IWJ
651,83.68731,-115.22375,QJP
652,-14.6309,-92.39941,OYV
653,-41.31141,-16.71308,EKC
654,-50.77956,154.73351,NBC
655,-62.21336,92.17274,QXN
656,43.99893,71.44104,EHJ
657,52.49302,67.94048,RRZ
658,-83.31331,36.52633,MFH
659,38.69418,-156.12343,MVW
660,32.44247,-80.50521,CIO
661,23.51289,84.82769,GZM
662,24.05743,-106.55694,LSB
663,53.2325,0.16574,XZP
664,-51.14493,67.52219,QII
665,-19.45543,169.66275,BNM
666,-79.28256,46.54205,LQC
667,53.07842,109.09192,DCI
668,81.65382,-3.52195,OBQ
669,-15.07127,-174.12729,SIY
670,83.15931,-109.50536,UIB
671,78.16521,-152.11604,FFE
672,-81.93432,-58.40025,GTY
673,-36.91409,-87.42362,KKY
674,46.61434,13.65486,ORP
675,66.91653,-60.3695,DZY
676,-48.0112,93.74234,IOR
677,79.28566,72.20421,HLR
678,-2.78643,-73.7307,CEP
679,-78.22429,-3.31542,UMW
680,64.18974,-47.5656,LSU
681,-42.87574,-44.94288,TLT
682,-44.17232,116.79295,ASF
683,-38.27216,72.69055,ZPS
684,36.38457,-71.68081,NEN
685,5.34033,-96.2658,VCN
686,8.99369,-92.81066,SZF
687,-35.98294,-165.9028,ITD
688,-9.54987,37.47045,UUO
689,-17.77506,-49.30645,FMP
690,6.84689,47.46179,WAR
691,-63.31691,135.31565,PVN
692,-25.15469,72.26521,CWG
693,-88.88633,-174.17087,UGG
694,67.6105,-29.05344,RXO
695,-83.1958,-145.95929,CHR
696,8.56147,-4.6116,XCE
697,-29.18812,-56.75921,YEB
698,-39.93623,103.05858,GKZ
699,-81.15042,-137.26872,RWS
700,-20.7653,145.20381,WAQ
701,-84.37654,98.8968,JSM
702,56.31695,-139.05503,OLO
703,-69.29818,134.13688,WHU
704,-22.20246,-35.2471,PCT
705,-2.57523,-174.15843,PYC
706,-35.23192,-172.12686,QRZ
707,23.3311,-118.17591,ZIM
708,88.02252,27.56797,YQD
709,-33.02222,78.92199,WHL
710,64.1735,-82.01155,BNY
711,-57.7412,-86.38031,QLL
712,-1.23715,17.01282,VAL
713,51.95269,-151.56173,GBR
714,42.77353,102.63451,SAX
715,-63.75526,47.4026,MEZ
716,-80.14333,89.40899,PBJ
717,68.12448,-50.29299,WOW
718,54.87554,-36.76657,BUN
719,-80.39911,6.07131,YQS
720,-24.81613,107.00279,BPA
721,70.22291,117.89362,ZGV
722,-61.25135,78.73198,VPI
723,71.44687,0.20942,RZH
724,-18.74224,126.76582,GPK
725,-3.97179,129.99704,XBB
726,6.32408,-123.30501,ZOB
727,1.11767,-152.23257,VDZ
728,44.86105,63.63001,TSM
729,68.90556,-171.46423,CGN
730,59.14236,-13.01123,GWN
731,-66.59289,75.31687,ZAG
732,51.49965,-74.31698,ZBV
733,-52.67743,74.38264,TOF
734,-4.37603,-169.95722,GQF
735,-9.837,118.44226,ZHJ
736,0.95462,8.75638,RLJ
737,-77.99975,58.41777,DII
738,39.53211,-154.01593,OWD
739,-60.64974,-47.40146,KGT
740,61.0369,-96.43131,IKN
741,-71.56088,-147.79367,FYM
742,42.70297,90.28524,CVL
743,82.59734,112.12762,HTB
744,73.47504,85.48679,HSM
745,-22.45174,-88.18376,HRF
746,27.38072,-78.75268,WVX
747,-73.35632,-42.74778,KLU
748,13.59834,37.29164,IXF
749,53.75154,-17.35554,XEY
750,-40.10169,178.27546,QTH
751,47.71194,140.77664,YEW
752,49.67451,-75.07032,HJP
753,2.03218,-58.46596,NAO
754,-84.94606,-23.72619,TMB
755,-18.81868,45.29716,WDD
756,-71.62672,-92.28727,CHA
757,-22.99155,58.84231,IGU
758,-86.09537,166.5341,GRE
759,-38.83482,-44.83173,BEF
760,-5.31059,151.88393,SAU
761,-75.65327,148.28481,FZQ
762,-89.63706,-67.64251,PGB
763,-83.02502,-81.77692,DFP
764,-79.45548,174.41358,KIW
765,59.37706,-57.71982,VAS
766,-5.8912,-106.08033,KNC
767,84.19426,-4.59874,QDP
768,18.97855,31.11194,OIR
769,-26.18925,-41.43565,IZX
770,-60.16248,23.56272,YML
771,-47.21737,-133.86563,LIN
772,48.06257,-48.44446,VSR
773,-75.2613,83.82407,PEB
774,-4.82078,-57.80559,IWU
775,32.0211,-82.21946,GAG
776,24.80544,-137.71728,JFR
777,-39.96896,-21.06456,TRW
778,-0.8231,68.0323,BAR
779,11.25911,-8.58096,WQK
780,28.8129,-156.54236,YSN
781,41.05775,141.43612,BTD
782,-14.5145,-112.63211,SAI
783,10.30056,-41.43427,LQL
784,-17.47406,34.93919,BDW
785,77.41101,-31.24311,FVX
786,58.83295,-12.42518,FAO
787,26.28756,163.67413,VOC
788,-32.35852,84.53456,ZIU
789,65.19832,64.46761,LQI
790,83.04897,90.42024,LSY
791,75.17103,110.04071,RAG
792,2.06602,-37.68911,OMB
793,-6.07982,125.10007,JVV
794,-19.87311,137.71492,CBI
795,-26.23501,-118.19559,IDC
796,-13.14878,1.1295,HEH
797,-85.88869,-119.5688,AXB
798,-49.69152,133.99652,YWW
799,-35.20323,27.55439,IQR
800,2.75501,-39.88571,DOC
801,66.48077,-12.30582,FSU
802,-2.80004,-3.00267,BOJ
803,-72.06038,-31.90105,UUR
804,-45.78179,116.3286,PEU
805,-87.13927,-159.02383,RZH
806,-70.25426,95.44432,MCG
807,-56.38726,17.99715,XYD
808,-45.66506,37.52731,DRW
809,60.59956,11.1321,WIS
810,-60.53691,69.39353,ISD
811,-13.93341,41.29099,YRH
812,54.57616,-179.77844,OTM
813,-80.28051,37.69569,IVS
814,-1.31021,-53.69808,GQO
815,-49.71563,145.55359,JHE
